"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
"Echo Canyon River Expeditions, LLC.",024,G,20001234095,G,,x,,x,45000 U.S. Hwy 50 West,Canon City,CO,81212,22002,G,38.496835,-105.322365,g1,2000-12-01 00:00:00,G,,x,x,
"Eagle Valley Guides, Inc.",235,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Elk Mountain Expeditions, LLC.",515,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Epic Days Coalition, Inc.",573,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Flexibile Flyers Rafting,509,G,20151437496,G,,x,,x,30 Bookside Ct,Bayfield,CO,81122,34005,G,34.159263,-84.791454,g1,2015-07-02 00:00:00,G,,x,x,
"Fish On Colorado, LLC.",553,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Frying Pan Anglers, Inc.",409,G,19901063919,G,,x,,x,231 Midland Avenue,Basalt,CO,81621,64017,G,39.369009,-107.031117,g1,1990-06-06 00:00:00,G,,x,x,
"Gateway Canyons, LLC.",449,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Geo Tours Whitewater Raft Trips,100,G,20001042012,G,"Arkansas River, Clear Creek, Colorado River",G,"00078956, 00181805, 00045730 ",G,229 Hwy 8,Morrison,CO,80465,30065,G,39.652276,-105.194296,g1,2000-02-28 00:00:00,G,http://www.georafting.com/,G,Y,"Parent company is Agate Dog, Inc."
"Glenwood Canyon Rafting, Inc.",358,G,20011019497,G,,x,,x,2610 Gilstrap Ct.,Glenwood Springs,CO,81601,23008,G,39.559522,-107.363251,g1,2001-01-26 00:00:00,G,,x,x,
"Gone Fishing Colorado, LLC.",539,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Gore Range Expeditions, LLC.",500,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Gunnison Fish and Raft, LLC",321,G,20101211315,G,,x,,x,63 Ginkgo Drive,Gunnison,CO,81230,26008,G,35.621648,-85.863428,g1,2010-04-13 00:00:00,G,,x,x,
"Gunnison River Guides, LLC.",456,G,20081340717,G,,x,,x,132 Deer Path Ln,Almont,CO,81210,,N,42.345558,-71.328939,g1,2008-06-25 00:00:00,G,,x,x,
"Gunnison River Outfitters, LLC.",446,G,20071353474,G,,x,,x,PO Box 2058,Hotchkiss,CO,81419,15020,G,38.729625,-120.798546,g1,2007-07-31 00:00:00,G,,x,x,
"Hammer Adventures, Inc.",384,G,20031139024,G,,x,,x,12847 Hwy 24 & 285,Buena Vista,CO,81211,08002,G,38.809564,-106.116414,g1,2003-04-30 00:00:00,G,,x,x,
Harcourt Flyfishing 3G,535,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Heads Up Flyfishing, LLC.",560,G,20091099044,G,,x,,x,1831 W 3rd Ave,Durango,CO,81301,34008,G,36.500540,-84.556620,g1,2009-02-17 00:00:00,G,,x,x,
"High Country River Tours, Inc.",540,G,20141106462,G,,x,,x,6165 W 78th Pl,Arvada,CO,80003,64009,G,39.838686,-105.064155,g1,2014-02-19 00:00:00,G,,x,x,
"High Mountain Drifters Guide Service, LLC.",440,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"High Plains Outdoor Institute, Inc.",115,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Holiday River Expeditions, Inc.",069,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Independent Whitewater, Inc.",059,G,19991070751,G,"Arkansas River, Clear Creek",G,"00078956, 00181805",G,333 Maxwell,Salida,CO,81201,08007,G,39.379092,-79.763153,g1,1999-04-14 00:00:00,G,http://www.independentrafting.com/,G,Y,
"Integrity Fishing Ventures, Inc.",489,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Irwin Backcountry Guides, LLC.",531,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"J.P. Legel, Inc.",005,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"JW Packer, LLC",467,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Jeff Ehlert Guide Services, Inc.",412,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Journey Quest, Inc.",510,G,,x,Arkansas River,G,00078956,G,,,,,,x,,,x,,x,https://journeyquest.org/,G,Y,
"Keys Guide and outfitting, LLC.",376,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Kirks Mountain Adventures, LLC.",526,G,20021020350,G,,x,,x,230 E Elkhorn Ave,Estes Park,CO,80517,35004,G,40.376708,-105.520487,g1,2002-01-28 00:00:00,G,,x,x,
Kiva Outdoor Pursuits,525,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Kiwi Adventure Ko, LLC.",454,G,20081162190,G,,x,,x,303 Grove Ct,Aspen,CO,81611,49006,G,40.698528,-73.915814,g1,2008-03-26 00:00:00,G,,x,x,
KODI Rafting,565,G,20151319480,G,"Arkansas River, Blue River,  Clear Creek, Colorado River, Dolores River, Ten Mile Creek",G,"00078956, 00173194, 00181805, 00045730, 01440517, 00176191 ",G,15620 Bear Trail,Buena Vista,CO,81211,08002,G,38.872927,-106.158615,g1,2015-05-12 00:00:00,G,http://www.whitewatercolorado.com/,G,Y,"Parent company is McGrath Outdoor, Ltd."
"Larsson Whitewater, Inc.",522,G,20121143031,G,,x,,x,2000 Devereux Rd,Glenwood Springs,CO,81601,23008,G,39.559782,-107.353329,g1,2012-03-06 00:00:00,G,,x,x,
"LaSoleil, LLC",402,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Lazy Jade LLC,555,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Lifelines Outdoors, Inc.",551,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Liquid Descent, LLC.",450,G,20071504903,G,"Clear Creek, Colorado River, Eagle River",G,"00181805, 00045730, 00174007 ",G,1896 Stanley Rd,Idaho Springs,CO,80452,10008,G,39.755783,-105.565092,g1,2007-11-01 00:00:00,G,http://coloradorafting.com/,G,Y,
"Mile Hi Rafting, LLC.",352,G,20011234787,G,"Arkansas River, Clear Creek",G,"00078956, 00181805",G,3627 Alvarado Road,Lawson,CO,80436,,N,39.763036,-105.635670,g1,2001-12-12 00:00:00,G,https://milehirafting.com/,G,Y,
"Minturn Anglers, LLC",472,G,20081094899,G,,x,,x,102 B Main St.,Minturn,CO,81645,19024,G,42.548433,-74.823616,g1,2008-02-16 00:00:00,G,,x,x,
"Monumental Expeditions, LLC",563,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Mountain Man Rafting LLC,542,G,20141135846,G,,x,,x,30923 W. Hwy 160,South Fork,CO,81154,53013,G,37.664108,-106.646901,g1,2014-02-27 00:00:00,G,,x,x,
Mountain Waters Rafting &,512,G,20111612339,G,,x,,x,303 W. College Dr.,Durango,CO,81301,34008,G,41.102343,-104.802993,g1,2011-11-01 00:00:00,G,,x,x,
"Mountain Whitewater, Inc.",343,G,20001013380,G,Cache la Poudre River,G,00205018,G,1329 N US Hwy 287,Fort Collins,CO,80524,35009,G,40.625016,-105.101114,g1,2000-01-20 00:00:00,G,https://www.raftmw.com/,G,N,
The Little Nell Fly Fishing Adventures,504,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
National Sports Center for the Disables,107,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Noah's Ark Whitewater Rafting Company,033,G,19871521373,G,,x,,x,23910 Hwy 285,Nathrop,CO,81236,,N,38.765233,-106.093704,g1,1983-05-10 00:00:00,G,,x,x,
NOLS,141,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"North Park Fishing Club, LLC.",497,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"O.A.R.S. Canyonlands, Inc.",111,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Outlaw Rivers & Jeep Tours, LLC.",324,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Paddle Colorado, LLC",517,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Pagosa Outside, LLC.",470,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
